N,LOCATION,LAT,LON,STN_CHAN,PERCENT_UP
120,DOMINICAN REPUBLIC REGION,19.380100,-69.864900,LONA2_EHZ.LO.00,62.2
121,DOMINICAN REPUBLIC REGION,18.604653,-71.458718,LONE3_EHZ.LO.00,92.7
122,DOMINICAN REPUBLIC REGION,19.290317,-70.545250,LOPU_EHZ.LO.00,75.6
123,DOMINICAN REPUBLIC REGION,19.649767,-71.371633,LORA_EHZ.LO.00,92.8
124,DOMINICAN REPUBLIC REGION,19.185850,-69.271683,LOSA_EHZ.LO.00,92.7
125,DOMINICAN REPUBLIC REGION,19.534967,-70.578933,LOTA_EHZ.LO.00,92.6
126,DOMINICAN REPUBLIC REGION,17.798252,-71.367760,LOVI_EHZ.LO.00,90.9
127,BAJA CALIFORNIA MEXICO,24.100999,-110.309311,LPIG_BHZ.MX.--,72.5
128,PUERTO RICO REGION,18.291401,-66.844597,LRS_SHZ.PR.--,0.0
129,MONA PASSAGE,18.175731,-67.085816,LSP_HHZ.PR.00,99.6
130,VERACRUZ MEXICO,19.723200,-96.417702,LVIG_BHZ.MX.--,70.5
